Année,Marque,Modèle,Catégorie de,Moteur,Cylindrée,Cylindres,Transmission,Type de,Consommation,Autonomie 1,Temps de,Type de,Consommation,,,Autonomie 2,Émissions de,Indice,Indice
modèle,,,véhicule,(kW),(L),,,carburant 1,Combinée Le/100 km,(km),recharge (h),carburant 2,Ville (L/100 km),Route (L/100 km),Comb (L/100 km),(km),CO2 (g/km),de CO2,de smog
2020,Lincoln,Aviator Grand Touring,VUS : ordinaire,62,3.0,6,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7
2020,Mercedes-Benz,GLC 350e 4MATIC,VUS : petit,90,2.0,4,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35,1.3,Z,10.2,8.4,9.4,538,109,10,5
2020,Mercedes-Benz,S 560e,Grande berline,90,3.0,6,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31,1.3,Z,11.4,9.0,10.3,785,127,9,3
2020,MINI,Cooper SE Countryman ALL4,Intermédiaire,65,1.5,3,AS6,B/Z*,3.2 ([28.6 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,10,3
2020,Mitsubishi,Outlander PHEV AWD,VUS : petit,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7
2020,Porsche,Panamera 4 E-Hybrid,Grande berline,70,2.9,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5
2020,Porsche,Panamera Turbo S E-Hybrid,Grande berline,70,4.0,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3
2020,Subaru,Crosstrek Hybrid AWD,VUS : petit,100,2.0,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6
2020,Toyota,Prius Prime,Intermédiaire,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2020,Volvo,S60 T8 AWD,Compacte,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
