ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT,,,,ÉMISSIONS DE CO2,INDICE,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),DE CO2,,,
2016,BMW,M235i xDRIVE CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238,5,,,
2016,BMW,M3,COMPACTE,3.0,6,AM7,Z,14.1,9.7,12.1,23,284,4,,,
2016,BMW,M3,COMPACTE,3.0,6,M6,Z,13.7,9.0,11.6,24,271,4,,,
2016,BMW,M4 CABRIOLET,SOUS-COMPACTE,3.0,6,AM7,Z,14.2,9.6,12.1,23,282,4,,,
2016,BMW,M4 CABRIOLET,SOUS-COMPACTE,3.0,6,M6,Z,14.1,9.0,11.8,24,278,4,,,
2016,BMW,M4 COUPE,COMPACTE,3.0,6,AM7,Z,14.1,9.7,12.1,23,284,4,,,
2016,BMW,M4 COUPE,COMPACTE,3.0,6,M6,Z,13.7,9.0,11.6,24,271,4,,,
2016,BMW,M5,INTERMÉDIAIRE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344,3,,,
2016,BMW,M5,INTERMÉDIAIRE,4.4,8,M6,Z,16.1,10.9,13.7,21,321,3,,,
2016,BMW,M6,COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344,3,,,
2016,BMW,M6,COMPACTE,4.4,8,M6,Z,16.1,10.9,13.7,21,321,3,,,
2016,BMW,M6 CABRIOLET,SOUS-COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344,3,,,
2016,BMW,M6 CABRIOLET,SOUS-COMPACTE,4.4,8,M6,Z,16.1,10.9,13.7,21,321,3,,,
2016,BMW,M6 GRAN COUPE,COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344,3,,,
2016,BMW,M6 GRAN COUPE,COMPACTE,4.4,8,M6,Z,16.1,10.9,13.7,21,321,3,,,
2016,BMW,X1 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,10.7,7.4,9.2,31,215,6,,,
2016,BMW,X3 xDRIVE28d,VUS - PETIT,2.0,4,AS8,D,8.6,6.9,7.9,36,211,6,,,
2016,BMW,X3 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,11.1,8.4,9.9,29,231,5,,,
2016,BMW,X3 xDRIVE35i,VUS - PETIT,3.0,6,AS8,Z,12.7,8.8,10.9,26,257,5,,,
2016,BMW,X4 M40i,VUS - PETIT,3.0,6,AS8,Z,12.8,9.5,11.3,25,264,5,,,
2016,BMW,X4 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,11.7,8.4,10.2,28,238,5,,,
2016,BMW,X4 xDRIVE35i,VUS - PETIT,3.0,6,AS8,Z,12.7,8.8,10.9,26,257,5,,,
2016,BMW,X5 M,VUS - ORDINAIRE,4.4,8,AS8,Z,16.6,12.1,14.6,19,343,3,,,
2016,BMW,X5 xDRIVE35d,VUS - ORDINAIRE,3.0,6,AS8,D,10.0,7.6,8.9,32,233,5,,,
2016,BMW,X5 xDRIVE35i,VUS - ORDINAIRE,3.0,6,AS8,Z,13.0,9.7,11.5,25,269,5,,,
2016,BMW,X5 xDRIVE50i,VUS - ORDINAIRE,4.4,8,AS8,Z,15.7,11.4,13.8,20,322,3,,,
2016,BMW,X6 M,VUS - ORDINAIRE,4.4,8,AS8,Z,16.6,12.1,14.6,19,343,3,,,
2016,BMW,X6 xDRIVE35i,VUS - ORDINAIRE,3.0,6,AS8,Z,13.0,9.7,11.5,25,269,5,,,
2016,BMW,X6 xDRIVE50i,VUS - ORDINAIRE,4.4,8,AS8,Z,15.7,11.4,13.8,20,322,3,,,
2016,BMW,Z4 sDRIVE28i,DEUX PLACES,2.0,4,AS8,Z,10.7,7.1,9.1,31,212,6,,,
2016,BMW,Z4 sDRIVE28i,DEUX PLACES,2.0,4,M6,Z,10.7,7.0,9.0,31,211,6,,,
2016,BMW,Z4 sDRIVE35i,DEUX PLACES,3.0,6,AM7,Z,13.7,10.0,12.1,23,282,4,,,
2016,BMW,Z4 sDRIVE35is,DEUX PLACES,3.0,6,AM7,Z,13.7,10.0,12.1,23,282,4,,,
2016,BUICK,ENCLAVE,VUS - ORDINAIRE,3.6,6,A6,X,15.8,10.6,13.4,21,315,4,,,
2016,BUICK,ENCLAVE AWD,VUS - ORDINAIRE,3.6,6,A6,X,16.1,10.8,13.7,21,323,3,,,
2016,BUICK,ENCORE,VUS - PETIT,1.4,4,AS6,X,9.5,7.2,8.5,33,199,7,,,
2016,BUICK,ENCORE AWD,VUS - PETIT,1.4,4,AS6,X,10.2,8.0,9.2,31,215,6,,,
2016,BUICK,ENCORE SPORT TOURING,VUS - PETIT,1.4,4,AS6,X,8.5,6.9,7.8,36,182,7,,,
2016,BUICK,ENCORE SPORT TOURING AWD,VUS - PETIT,1.4,4,AS6,X,8.9,7.4,8.2,34,192,7,,,
2016,BUICK,ENVISION AWD,VUS - PETIT,2.0,4,A6,Z,11.8,9.1,10.6,27,248,5,,,
2016,BUICK,LACROSSE FFV,INTERMÉDIAIRE,3.6,6,AS6,X,13.7,8.6,11.4,25,268,5,,,
2016,BUICK,LACROSSE FFV,INTERMÉDIAIRE,3.6,6,AS6,E,18.7,12.4,15.8,18,260,5,,,
2016,BUICK,LACROSSE eASSIST,INTERMÉDIAIRE,2.4,4,AS6,X,9.6,6.5,8.2,34,193,7,,,
2016,BUICK,LACROSSE AWD FFV,INTERMÉDIAIRE,3.6,6,AS6,X,13.8,9.0,11.7,24,274,4,,,
2016,BUICK,LACROSSE AWD FFV,INTERMÉDIAIRE,3.6,6,AS6,E,18.5,12.5,15.8,18,263,5,,,
2016,BUICK,REGAL,INTERMÉDIAIRE,2.0,4,AS6,Z,11.4,7.9,9.8,29,231,5,,,
2016,BUICK,REGAL,INTERMÉDIAIRE,2.0,4,M6,Z,11.6,7.6,9.8,29,230,5,,,
2016,BUICK,REGAL eASSIST,INTERMÉDIAIRE,2.4,4,AS6,X,9.6,6.5,8.2,34,193,7,,,
2016,BUICK,REGAL AWD,INTERMÉDIAIRE,2.0,4,AS6,Z,12.4,8.7,10.7,26,252,5,,,
2016,BUICK,VERANO,COMPACTE,2.0,4,AS6,Z,11.4,7.9,9.8,29,231,5,,,
2016,BUICK,VERANO,COMPACTE,2.0,4,M6,Z,11.6,7.6,9.8,29,230,5,,,
2016,BUICK,VERANO,COMPACTE,2.4,4,AS6,X,11.3,7.4,9.6,29,224,6,,,
2016,CADILLAC,ATS,COMPACTE,2.0,4,AS8,Z,10.5,7.6,9.2,31,215,6,,,
2016,CADILLAC,ATS,COMPACTE,2.0,4,M6,Z,12.0,8.1,10.3,27,240,5,,,
2016,CADILLAC,ATS,COMPACTE,2.5,4,AS8,X,10.6,7.3,9.1,31,214,6,,,
2016,CADILLAC,ATS,COMPACTE,3.6,6,AS8,X,11.6,7.9,9.9,29,233,5,,,
2016,CADILLAC,ATS AWD,COMPACTE,2.0,4,AS8,Z,10.8,7.8,9.4,30,221,6,,,
2016,CADILLAC,ATS AWD,COMPACTE,3.6,6,AS8,X,12.2,8.5,10.5,27,247,5,,,
2016,CADILLAC,ATS-V,COMPACTE,3.6,6,AS8,Z,14.7,9.8,12.5,23,293,4,,,
2016,CADILLAC,ATS-V,COMPACTE,3.6,6,M6,Z,14.2,10.2,12.4,23,289,4,,,
2016,CADILLAC,CT6,GRANDE BERLINE,2.0,4,AS8,Z,11.0,7.6,9.5,30,222,6,,,
2016,CADILLAC,CT6 AWD,GRANDE BERLINE,3.0,6,AS8,Z,13.0,9.0,11.2,25,263,5,,,
2016,CADILLAC,CT6 AWD,GRANDE BERLINE,3.6,6,AS8,X,12.8,8.7,11.0,26,257,5,,,
2016,CADILLAC,CTS,INTERMÉDIAIRE,2.0,4,AS8,Z,11.0,7.6,9.5,30,221,6,,,
2016,CADILLAC,CTS,INTERMÉDIAIRE,3.6,6,AS8,X,11.6,7.9,9.9,29,233,5,,,
2016,CADILLAC,CTS AWD,INTERMÉDIAIRE,2.0,4,AS8,Z,11.2,8.1,9.8,29,229,5,,,
2016,CADILLAC,CTS AWD,INTERMÉDIAIRE,3.6,6,AS8,X,12.2,8.5,10.5,27,247,5,,,
2016,CADILLAC,CTS Vsport,INTERMÉDIAIRE,3.6,6,AS8,Z,14.7,9.8,12.5,23,293,4,,,
2016,CADILLAC,CTS-V,INTERMÉDIAIRE,6.2,8,AS8,Z,16.6,11.1,14.1,20,332,3,,,
2016,CADILLAC,ESCALADE 4WD,VUS - ORDINAIRE,6.2,8,A8,Z,16.0,11.2,13.9,20,325,3,,,
2016,CADILLAC,SRX,VUS - ORDINAIRE,3.6,6,AS6,X,14.2,9.8,12.3,23,287,4,,,
2016,CADILLAC,SRX AWD,VUS - ORDINAIRE,3.6,6,AS6,X,14.8,10.4,12.8,22,300,4,,,
2016,CADILLAC,XTS,GRANDE BERLINE,3.6,6,AS6,X,13.6,8.6,11.3,25,263,5,,,
2016,CADILLAC,XTS AWD,GRANDE BERLINE,3.6,6,AS6,X,13.9,8.9,11.6,24,273,4,,,
2016,CADILLAC,XTS Vsport AWD,GRANDE BERLINE,3.6,6,AS6,Z,15.0,10.2,12.8,22,302,4,,,
2016,CHEVROLET,CAMARO,COMPACTE,2.0,4,AS8,Z,10.9,7.5,9.3,30,218,6,,,
2016,CHEVROLET,CAMARO,COMPACTE,2.0,4,M6,Z,11.4,7.9,9.8,29,229,5,,,
2016,CHEVROLET,CAMARO,COMPACTE,3.6,6,AS8,X,12.3,8.5,10.6,27,248,5,,,
2016,CHEVROLET,CAMARO,COMPACTE,3.6,6,M6,X,13.2,8.7,11.2,25,261,5,,,
2016,CHEVROLET,CAMARO SS,COMPACTE,6.2,8,AS8,Z,14.2,8.4,11.6,24,272,4,,,
2016,CHEVROLET,CAMARO SS,COMPACTE,6.2,8,M6,Z,14.3,9.4,12.1,23,284,4,,,
2016,CHEVROLET,CITY EXPRESS,VÉHICULE À USAGE SPÉCIAL,2.0,4,AV,X,9.7,9.0,9.4,30,220,6,,,
2016,CHEVROLET,COLORADO,CAMIONNETTE - PETITE,2.5,4,A6,X,11.9,8.9,10.5,27,247,5,,,
2016,CHEVROLET,COLORADO,CAMIONNETTE - PETITE,2.5,4,M6,X,12.2,9.1,10.8,26,253,5,,,
2016,CHEVROLET,COLORADO,CAMIONNETTE - PETITE,2.8,4,A6,D,10.8,7.7,9.4,30,252,5,,,
2016,CHEVROLET,COLORADO,CAMIONNETTE - PETITE,3.6,6,A6,X,13.0,9.2,11.3,25,265,5,,,
2016,CHEVROLET,COLORADO 4WD,CAMIONNETTE - PETITE,2.5,4,A6,X,12.7,9.6,11.3,25,265,5,,,
2016,CHEVROLET,COLORADO 4WD,CAMIONNETTE - PETITE,2.8,4,A6,D,12.0,8.2,10.3,27,277,4,,,
2016,CHEVROLET,COLORADO 4WD,CAMIONNETTE - PETITE,3.6,6,A6,X,13.6,9.9,11.9,24,279,4,,,
2016,CHEVROLET,CORVETTE,DEUX PLACES,6.2,8,AS8,Z,14.6,8.1,11.7,24,275,4,,,
