ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,,,
2015,BMW,740Li xDRIVE SEDAN,GRANDE BERLINE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,750i xDRIVE SEDAN,GRANDE BERLINE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,750Li xDRIVE SEDAN,GRANDE BERLINE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,760Li SEDAN,GRANDE BERLINE,6.0,12,AS8,Z,18.7,11.6,15.5,18,356,,,,
2015,BMW,ACTIVEHYBRID 3,COMPACTE,3.0,6,AS8,Z,9.7,7.5,8.7,32,200,,,,
2015,BMW,ACTIVEHYBRID 5,INTERMÉDIAIRE,3.0,6,AS8,Z,10.6,7.9,9.4,30,216,,,,
2015,BMW,ACTIVEHYBRID 7L,GRANDE BERLINE,3.0,6,AS8,Z,10.6,7.7,9.3,30,214,,,,
2015,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACTE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,ALPINA B7 xDRIVE LWB,GRANDE BERLINE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,ALPINA B7 xDRIVE SWB,GRANDE BERLINE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,M235i CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,,,,
2015,BMW,M235i CABRIOLET,SOUS-COMPACTE,3.0,6,M6,Z,12.3,9.0,10.8,26,248,,,,
2015,BMW,M235i COUPE,SOUS-COMPACTE,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,,,,
2015,BMW,M235i COUPE,SOUS-COMPACTE,3.0,6,M6,Z,11.9,8.5,10.4,27,239,,,,
2015,BMW,M235i xDRIVE COUPE,SOUS-COMPACTE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,M3 SEDAN,COMPACTE,3.0,6,AM7,Z,14.2,9.6,12.1,23,278,,,,
2015,BMW,M3 SEDAN,COMPACTE,3.0,6,M6,Z,13.7,9.0,11.6,24,267,,,,
2015,BMW,M4 CABRIOLET,SOUS-COMPACTE,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,,,,
2015,BMW,M4 CABRIOLET,SOUS-COMPACTE,3.0,6,M6,Z,14.1,9.0,11.8,24,271,,,,
2015,BMW,M4 COUPE,COMPACTE,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,,,,
2015,BMW,M4 COUPE,COMPACTE,3.0,6,M6,Z,13.7,9.0,11.6,24,267,,,,
2015,BMW,M5 SEDAN,INTERMÉDIAIRE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M5 SEDAN,INTERMÉDIAIRE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 CABRIOLET,SOUS-COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 CABRIOLET,SOUS-COMPACTE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 COUPE,COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 COUPE,COMPACTE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 GRAN COUPE,COMPACTE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 GRAN COUPE,COMPACTE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,X1 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,X1 xDRIVE35i,VUS - PETIT,3.0,6,AS8,Z,13.2,8.9,11.2,25,258,,,,
2015,BMW,X3 xDRIVE28d,VUS - PETIT,2.0,4,AS8,D,8.6,6.9,7.9,36,213,,,,
2015,BMW,X3 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,11.1,8.4,9.9,29,228,,,,
2015,BMW,X3 xDRIVE35i,VUS - PETIT,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,,,,
2015,BMW,X4 xDRIVE28i,VUS - PETIT,2.0,4,AS8,Z,11.7,8.4,10.2,28,235,,,,
2015,BMW,X4 xDRIVE35i,VUS - PETIT,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,,,,
2015,BMW,X5 M,VUS - ORDINAIRE,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,,,,
2015,BMW,X5 xDRIVE35d,VUS - ORDINAIRE,3.0,6,AS8,D,9.9,7.2,8.7,32,235,,,,
2015,BMW,X5 xDRIVE35i,VUS - ORDINAIRE,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,,,,
2015,BMW,X5 xDRIVE50i,VUS - ORDINAIRE,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,,,,
2015,BMW,X6 M,VUS - ORDINAIRE,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,,,,
2015,BMW,X6 xDRIVE35i,VUS - ORDINAIRE,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,,,,
2015,BMW,X6 xDRIVE50i,VUS - ORDINAIRE,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,,,,
2015,BMW,Z4 sDRIVE28i,DEUX PLACES,2.0,4,AS8,Z,10.7,7.1,9.1,31,209,,,,
2015,BMW,Z4 sDRIVE28i,DEUX PLACES,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,Z4 sDRIVE35i,DEUX PLACES,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,,,,
2015,BMW,Z4 sDRIVE35i,DEUX PLACES,3.0,6,M6,Z,12.7,9.0,11.0,26,253,,,,
2015,BMW,Z4 sDRIVE35is,DEUX PLACES,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,,,,
2015,BUICK,ENCLAVE,VUS - ORDINAIRE,3.6,6,A6,X,14.2,9.9,12.3,23,283,,,,
2015,BUICK,ENCLAVE AWD,VUS - ORDINAIRE,3.6,6,A6,X,14.6,10.2,12.6,22,290,,,,
2015,BUICK,ENCORE,VUS - PETIT,1.4,4,AS6,X,9.5,7.2,8.5,33,196,,,,
2015,BUICK,ENCORE AWD,VUS - PETIT,1.4,4,AS6,X,10.2,8.0,9.2,31,212,,,,
